,dates,NEE_uStar_f,LH_f,VPD_orig,Tower_T,2DWindspeed,NetRadi,H2,O18,C13
0,2017-09-01,,,,20.440668749999997,,137.92312499999994,-70.4989466122264,-10.2479952222619,
1,2017-09-02,,,,22.937062499999996,,126.23510638297871,,,-32.0894005091259
2,2017-09-03,,,,24.810764583333334,,120.6042553191489,-103.969654406581,,-29.9362200171498
3,2017-09-04,,,,25.138154166666663,,116.42543478260868,-68.3165664038874,,-34.7332000761699
4,2017-09-05,,,,25.24267083333334,,104.70152173913044,-111.996225863115,-13.654737510457,
5,2017-09-06,,,,24.142319148936167,,73.79782608695653,-122.828078256627,-15.3728032290374,
6,2017-09-07,,,,23.709102083333338,,89.931875,,,
7,2017-09-08,,,,22.005877083333335,,91.11500000000001,,,
8,2017-09-09,,,,18.314027083333333,,22.90145833333334,,,
9,2017-09-10,,,,18.75072916666667,,115.6025,,,
10,2017-09-11,,,,21.104164583333333,,111.15770833333333,-115.649406317288,-16.919557365528,
11,2017-09-12,,,,21.861439583333336,,67.81875000000001,-110.751169959817,-15.6475730339964,
12,2017-09-13,,,,21.575752083333338,,76.88125,,,
13,2017-09-14,,,,18.697935416666667,,49.62708333333334,,,
14,2017-09-15,,,,13.309462500000002,,95.19624999999998,,,-28.2641506357727
15,2017-09-16,,,,10.831316666666664,,105.15291666666668,-121.949013539538,-15.6225736066518,-31.5061052060984
16,2017-09-17,,,,12.265235416666668,,86.445,,,
17,2017-09-18,,,,17.521234090909093,,99.95229166666667,,,
18,2017-09-19,,,,,,53.025957446808484,-154.899473052105,-17.6984301728395,
19,2017-09-20,,,,,,103.68854166666664,,,
20,2017-09-21,,,,,,83.5320833333333,-179.728713674922,-21.8340915675854,
21,2017-09-22,,,,,,110.62354166666667,,,
22,2017-09-23,,,,,,41.15708333333333,,,
23,2017-09-24,,,,,,38.06270833333333,,,
24,2017-09-25,,,,,,118.96999999999998,-167.1111395672,-22.7478899522416,-27.2981914156706
25,2017-09-26,,,,,,97.43270833333332,-148.916980715253,-22.7228669067161,
26,2017-09-27,,,,,,96.69208333333334,,-21.8643879121829,
27,2017-09-28,,,,,,54.49979166666668,-152.329861442252,-19.5782608385266,
28,2017-09-29,,,,,,94.47500000000002,-145.573942909213,-16.9413558614702,-33.5282506054924
29,2017-09-30,,,,,,39.05936170212767,-196.868001593544,-26.0271180105227,-32.6818810933014
30,2017-10-01,,,,,,35.45541666666664,-194.682544493669,-24.8301063072446,
31,2017-10-02,,,,,,69.37020833333335,-194.239373079443,,
32,2017-10-03,,,,,,88.36625,-162.687817865863,-18.6542384179597,
33,2017-10-04,,,,,,68.22565217391303,,,
34,2017-10-05,,,,,,59.91260869565217,-163.584844815846,-20.0918755254084,
35,2017-10-06,,,,,,79.99645833333334,,,
36,2017-10-07,,,,,,77.10354166666667,,,
37,2017-10-08,,,,,,41.941590909090905,,,
38,2017-10-09,,,,9.4047625,,71.50604166666666,,,
39,2017-10-10,,,,5.834166666666667,,68.25416666666665,,,
40,2017-10-11,,,,12.014752083333333,,62.35395833333331,,,
41,2017-10-12,,,,10.923824999999999,,71.88173913043477,,,
42,2017-10-13,,,,6.928233333333334,,57.81083333333331,,,
43,2017-10-14,,,,4.910756250000001,,70.28340425531916,,,
44,2017-10-15,,,,2.9840541666666667,,62.337499999999984,,,
45,2017-10-16,,,,7.731529166666667,,60.00234042553192,,,
46,2017-10-17,,,,11.714839583333335,,50.54282608695652,,,
47,2017-10-18,,,,13.332727083333326,,54.621458333333344,,,
48,2017-10-19,,,,13.398304166666668,,50.17395833333334,,,
49,2017-10-20,,,,13.5540375,,25.621458333333326,,,
50,2017-10-21,,,,3.86456875,,55.55645833333332,,,
51,2017-10-22,,,,8.014743750000001,,57.90375,,,
52,2017-10-23,,,,11.923795833333328,,55.304375,,,
53,2017-10-24,,,,9.002766666666668,,51.84479166666669,,,
54,2017-10-25,,,,9.317395833333334,,46.31270833333334,,,
55,2017-10-26,,,,10.629381249999998,,32.36106382978722,,,
56,2017-10-27,,,,8.697310416666669,,44.53374999999999,,,
57,2017-10-28,,,,8.707764583333335,,52.25729166666667,,,
58,2017-10-29,,,,9.51853125,,46.88958333333334,,,
59,2017-10-30,,,,9.670379166666665,,33.017500000000005,,,
60,2017-10-31,,,,6.065029166666666,,47.56500000000002,,,
61,2017-11-01,,,,8.702418750000001,,30.521489361702127,,,
62,2017-11-02,,,,12.023044680851063,,40.12531914893617,-71.6207882182397,,
63,2017-11-03,,,,12.212133333333334,,2.063541666666664,,,
64,2017-11-04,,,,9.854220833333335,,7.947916666666664,-139.36887008166,-19.1469879398734,
65,2017-11-05,,,,6.471670833333334,,60.16499999999999,-140.491883669634,-16.7886866174085,-30.2240473714518
66,2017-11-06,,,,3.1038854166666674,,16.38354166666667,-157.663133457577,-18.991761561627,
67,2017-11-07,,,,1.27919375,,11.071666666666665,,,
68,2017-11-08,,,,-1.8638875000000004,,23.57416666666667,,,
69,2017-11-09,,,,5.599843749999999,,45.474791666666675,,,
70,2017-11-10,,,,9.878368750000003,,-2.1089583333333235,-101.530994610015,,
71,2017-11-11,,,,5.46441875,,36.865416666666675,,,
72,2017-11-12,,,,4.2612125,,8.503958333333332,,,
73,2017-11-13,,,,9.238939583333334,,28.7325,,,
74,2017-11-14,,,,10.252958333333334,,35.02645833333334,-143.579903904756,-17.8220552859324,
75,2017-11-15,,,,5.427945833333333,,12.047708333333324,-133.100751478904,,
76,2017-11-16,,,10.236956745249387,12.219331250000002,,-14.587916666666677,-174.606278906923,-23.9648124717136,
77,2017-11-17,,,4.414764251335686,7.7202562499999985,,-5.616458333333331,,,
78,2017-11-18,,,2.0684185817473906,-2.411633333333332,,25.64217391304347,,,
79,2017-11-19,,,2.2419334478952524,-1.3756375000000005,,23.27702127659575,,,
80,2017-11-20,,,4.782767958584788,4.450481249999999,,21.338958333333334,,,
81,2017-11-21,,,7.066206542318689,10.462712499999997,,51.032083333333325,-188.631036761571,-23.896796659652,
82,2017-11-22,,,5.155456645876979,9.818922916666667,,28.313125,,,
83,2017-11-23,,,5.926796470080536,10.781606250000001,,22.362499999999997,-143.212926820198,-17.7515119425419,
84,2017-11-24,,,9.954464659220958,13.599456250000001,,35.66395833333335,,,
85,2017-11-25,,,4.657784614246375,7.704681249999999,,27.772499999999997,-129.64508217293,-17.2948270193088,
86,2017-11-26,,,8.664394866758956,11.047729166666665,,-4.311666666666671,-130.100271410827,,
87,2017-11-27,,,11.532995433752994,13.31643125,,-10.448124999999996,-196.694282747277,-24.9258572873395,
88,2017-11-28,,,2.129261242526537,1.4540666666666666,,50.21583333333336,-216.845480820026,-27.7441603178933,
89,2017-11-29,,,2.7997898551471003,1.5366,,24.230208333333334,,,-24.7471339707859
90,2017-11-30,,,2.6271395732698894,1.0549687499999998,,19.77145833333333,,-19.4270999279593,
91,2017-12-01,,,2.8736961400151624,2.6559958333333333,,27.13541666666666,-156.555791353973,,
92,2017-12-02,,,3.949940397204804,4.158985416666668,,18.28854166666667,,,
93,2017-12-03,,,7.3711455094985,9.273508333333332,,-6.922291666666673,,,
94,2017-12-04,,,1.7687863826780885,-2.9403729166666666,,3.4470833333333233,-212.017900189726,-23.824811553772,
95,2017-12-05,,,1.486084156768186,-5.28596875,,13.58416666666667,,,
96,2017-12-06,,,1.0491861711413912,-5.019558333333332,,11.68145833333334,,,
97,2017-12-07,,,1.8807943801375966,-4.802366666666667,,8.892083333333348,,,
98,2017-12-08,,,2.2395570777618508,-3.9169999999999994,,15.473958333333323,,,
99,2017-12-09,,,2.1265535560194126,-3.2889104166666674,,11.291666666666663,,,
100,2017-12-10,,,2.3472633121864908,-2.7296229166666657,,8.9125,,,
101,2017-12-11,,,2.483684682639023,-2.7325895833333327,,10.679374999999991,,,-32.0149554125522
102,2017-12-12,,,3.2993313156103503,-0.9217297872340424,,8.737234042553204,,,
103,2017-12-13,,,2.5747634715616448,-2.562283333333334,,1.8487499999999863,,,
104,2017-12-14,,,1.6452871022286946,-2.147183333333333,,23.422916666666666,,,
105,2017-12-15,,,1.8991488349941497,-2.3438249999999994,,15.005833333333342,,,
106,2017-12-16,,,2.0955266573831666,-0.8664854166666669,,-0.19687499999999655,,,
107,2017-12-17,,,1.0767209592405542,-2.8939854166666663,,19.57958333333333,,,
108,2017-12-18,,,1.4984449429909323,-4.056739583333333,,13.864999999999993,,,
109,2017-12-19,,,2.7105592695538228,-0.17128749999999995,,15.929166666666667,-188.365240690361,-28.0855610249094,
